global_eval_step,env_id,episode_id,event,from_stage,to_stage,stage3_duration_steps
98,87,0,stage3_enter,2,3,0
120,101,0,stage3_enter,2,3,0
123,93,0,stage3_enter,2,3,0
127,89,0,stage3_enter,2,3,0
131,25,0,stage3_enter,2,3,0
132,40,0,stage3_enter,2,3,0
132,63,0,stage3_enter,2,3,0
140,91,0,stage3_enter,2,3,0
142,85,0,stage3_enter,2,3,0
143,92,0,stage3_enter,2,3,0
145,98,0,stage3_enter,2,3,0
146,8,0,stage3_enter,2,3,0
148,78,0,stage3_enter,2,3,0
151,99,0,stage3_enter,2,3,0
152,90,0,stage3_enter,2,3,0
152,97,0,stage3_enter,2,3,0
153,107,0,stage3_enter,2,3,0
155,70,0,stage3_enter,2,3,0
155,71,0,stage3_enter,2,3,0
155,82,0,stage3_enter,2,3,0
156,80,0,stage3_enter,2,3,0
157,21,0,stage3_enter,2,3,0
159,48,0,stage3_enter,2,3,0
159,124,0,stage3_enter,2,3,0
160,60,0,stage3_enter,2,3,0
161,53,0,stage3_enter,2,3,0
164,32,0,stage3_enter,2,3,0
165,54,0,stage3_enter,2,3,0
166,62,0,stage3_enter,2,3,0
168,84,0,stage3_enter,2,3,0
169,9,0,stage3_enter,2,3,0
169,102,0,stage3_enter,2,3,0
170,114,0,stage3_enter,2,3,0
172,15,0,stage3_enter,2,3,0
173,10,0,stage3_enter,2,3,0
173,106,0,stage3_enter,2,3,0
175,52,0,stage3_enter,2,3,0
181,55,0,stage3_enter,2,3,0
182,34,0,stage3_enter,2,3,0
182,37,0,stage3_enter,2,3,0
183,39,0,stage3_enter,2,3,0
183,111,0,stage3_enter,2,3,0
183,123,0,stage3_enter,2,3,0
186,88,0,stage3_enter,2,3,0
186,95,0,stage3_enter,2,3,0
190,0,0,stage3_enter,2,3,0
190,6,0,stage3_enter,2,3,0
190,46,0,stage3_enter,2,3,0
191,16,0,stage3_enter,2,3,0
191,117,0,stage3_enter,2,3,0
193,5,0,stage3_enter,2,3,0
193,20,0,stage3_enter,2,3,0
193,67,0,stage3_enter,2,3,0
196,17,0,stage3_enter,2,3,0
197,61,0,stage3_enter,2,3,0
198,14,0,stage3_enter,2,3,0
198,50,0,stage3_enter,2,3,0
199,44,0,stage3_enter,2,3,0
199,96,0,stage3_enter,2,3,0
200,28,0,stage3_enter,2,3,0
200,59,0,stage3_enter,2,3,0
201,104,0,stage3_enter,2,3,0
202,56,0,stage3_enter,2,3,0
203,11,0,stage3_enter,2,3,0
203,118,0,stage3_enter,2,3,0
204,19,0,stage3_enter,2,3,0
204,35,0,stage3_enter,2,3,0
204,69,0,stage3_enter,2,3,0
205,49,0,stage3_enter,2,3,0
205,116,0,stage3_enter,2,3,0
209,100,0,stage3_enter,2,3,0
209,125,0,stage3_enter,2,3,0
211,73,0,stage3_enter,2,3,0
212,36,0,stage3_enter,2,3,0
214,51,0,stage3_enter,2,3,0
214,110,0,stage3_enter,2,3,0
215,64,0,stage3_enter,2,3,0
216,42,0,stage3_enter,2,3,0
216,47,0,stage3_enter,2,3,0
217,58,0,stage3_enter,2,3,0
220,13,0,stage3_enter,2,3,0
222,22,0,stage3_enter,2,3,0
222,45,0,stage3_enter,2,3,0
222,79,0,stage3_enter,2,3,0
225,23,0,stage3_enter,2,3,0
225,81,0,stage3_enter,2,3,0
226,103,0,stage3_enter,2,3,0
228,30,0,stage3_enter,2,3,0
230,1,0,stage3_enter,2,3,0
230,27,0,stage3_enter,2,3,0
231,108,0,stage3_enter,2,3,0
232,122,0,stage3_enter,2,3,0
234,2,0,stage3_enter,2,3,0
234,33,0,stage3_enter,2,3,0
234,86,0,stage3_enter,2,3,0
234,120,0,stage3_enter,2,3,0
237,57,0,stage3_enter,2,3,0
242,3,0,stage3_enter,2,3,0
246,29,0,stage3_enter,2,3,0
246,127,0,stage3_enter,2,3,0
249,24,0,stage3_enter,2,3,0
260,65,0,stage3_enter,2,3,0
260,109,0,stage3_enter,2,3,0
260,121,0,stage3_enter,2,3,0
263,76,0,stage3_enter,2,3,0
265,31,0,stage3_enter,2,3,0
267,38,0,stage3_enter,2,3,0
279,113,0,stage3_enter,2,3,0
288,115,0,stage3_enter,2,3,0
299,41,0,stage3_enter,2,3,0
302,119,0,stage3_enter,2,3,0
306,12,0,stage3_enter,2,3,0
307,94,0,stage3_enter,2,3,0
326,83,0,stage3_enter,2,3,0
345,66,0,stage3_enter,2,3,0
355,7,0,stage3_enter,2,3,0
358,68,0,stage3_enter,2,3,0
375,4,0,stage3_enter,2,3,0
